Position = 0181, Accumulator = 0.000000e+00, Counter = 2
Position = 0182, Accumulator = 0.000000e+00, Counter = 0
Position = 0183, Accumulator = 0.000000e+00, Counter = 0
Position = 0184, Accumulator = 0.000000e+00, Counter = 1
Position = 0185, Accumulator = 0.000000e+00, Counter = 0
Position = 0186, Accumulator = 0.000000e+00, Counter = 0
Position = 0187, Accumulator = 0.000000e+00, Counter = 0
Position = 0188, Accumulator = 0.000000e+00, Counter = 0
Position = 0189, Accumulator = 0.000000e+00, Counter = 2
Position = 0190, Accumulator = 0.000000e+00, Counter = 2
Position = 0191, Accumulator = 0.000000e+00, Counter = 2
Position = 0192, Accumulator = 0.000000e+00, Counter = 1
Position = 0193, Accumulator = 0.000000e+00, Counter = 0
Position = 0194, Accumulator = 0.000000e+00, Counter = 2
Position = 0195, Accumulator = 0.000000e+00, Counter = 2
Position = 0196, Accumulator = 3.439704e-54, Counter = 4
Position = 0197, Accumulator = 0.000000e+00, Counter = 0
Position = 0198, Accumulator = 0.000000e+00, Counter = 2
Position = 0199, Accumulator = 0.000000e+00, Counter = 2
Position = 0200, Accumulator = 0.000000e+00, Counter = 2
Position = 0201, Accumulator = 0.000000e+00, Counter = 0
Position = 0202, Accumulator = 0.000000e+00, Counter = 0
Position = 0203, Accumulator = 0.000000e+00, Counter = 0
Position = 0204, Accumulator = 0.000000e+00, Counter = 1
Position = 0205, Accumulator = 0.000000e+00, Counter = 0
Position = 0206, Accumulator = 0.000000e+00, Counter = 0
Position = 0207, Accumulator = 0.000000e+00, Counter = 0
Position = 0208, Accumulator = 0.000000e+00, Counter = 0
Position = 0209, Accumulator = 0.000000e+00, Counter = 0
Position = 0210, Accumulator = 0.000000e+00, Counter = 0
Position = 0211, Accumulator = 0.000000e+00, Counter = 0
Position = 0212, Accumulator = 0.000000e+00, Counter = 0
Position = 0213, Accumulator = 0.000000e+00, Counter = 1
Position = 0214, Accumulator = 0.000000e+00, Counter = 0
Position = 0215, Accumulator = 0.000000e+00, Counter = 0
Position = 0216, Accumulator = 0.000000e+00, Counter = 0
Position = 0217, Accumulator = 0.000000e+00, Counter = 1
Position = 0218, Accumulator = 0.000000e+00, Counter = 0
Position = 0219, Accumulator = 0.000000e+00, Counter = 1
Position = 0220, Accumulator = 0.000000e+00, Counter = 1
Position = 0221, Accumulator = 0.000000e+00, Counter = 0
Position = 0222, Accumulator = 0.000000e+00, Counter = 0
Position = 0223, Accumulator = 0.000000e+00, Counter = 0
Position = 0224, Accumulator = 0.000000e+00, Counter = 0
Position = 0225, Accumulator = 0.000000e+00, Counter = 0
Position = 0226, Accumulator = 0.000000e+00, Counter = 0
Position = 0227, Accumulator = 0.000000e+00, Counter = 1
Position = 0228, Accumulator = 0.000000e+00, Counter = 0
Position = 0229, Accumulator = 0.000000e+00, Counter = 0
Position = 0230, Accumulator = 0.000000e+00, Counter = 2
Position = 0231, Accumulator = 0.000000e+00, Counter = 0
Position = 0232, Accumulator = 0.000000e+00, Counter = 2
Position = 0233, Accumulator = 0.000000e+00, Counter = 2
Position = 0234, Accumulator = 0.000000e+00, Counter = 0
Position = 0235, Accumulator = 0.000000e+00, Counter = 0
Position = 0236, Accumulator = 0.000000e+00, Counter = 0
Position = 0237, Accumulator = 0.000000e+00, Counter = 0
Position = 0238, Accumulator = 0.000000e+00, Counter = 0
Position = 0239, Accumulator = 0.000000e+00, Counter = 0
Position = 0240, Accumulator = 0.000000e+00, Counter = 1
Position = 0241, Accumulator = 0.000000e+00, Counter = 0
Position = 0242, Accumulator = 0.000000e+00, Counter = 2
Position = 0243, Accumulator = 0.000000e+00, Counter = 2
Position = 0244, Accumulator = 0.000000e+00, Counter = 0
Position = 0245, Accumulator = 0.000000e+00, Counter = 0
Position = 0246, Accumulator = 0.000000e+00, Counter = 0
Position = 0247, Accumulator = 0.000000e+00, Counter = 0
Position = 0248, Accumulator = 6.092556e-48, Counter = 4
Position = 0249, Accumulator = 0.000000e+00, Counter = 0
Position = 0250, Accumulator = 0.000000e+00, Counter = 0
Position = 0251, Accumulator = 0.000000e+00, Counter = 0
Position = 0252, Accumulator = 0.000000e+00, Counter = 0
Position = 0253, Accumulator = 0.000000e+00, Counter = 0
Position = 0254, Accumulator = 0.000000e+00, Counter = 2
Position = 0255, Accumulator = 0.000000e+00, Counter = 0
Position = 0256, Accumulator = 0.000000e+00, Counter = 2
Position = 0257, Accumulator = 0.000000e+00, Counter = 0
Position = 0258, Accumulator = 0.000000e+00, Counter = 0
Position = 0259, Accumulator = 0.000000e+00, Counter = 1
Position = 0260, Accumulator = 0.000000e+00, Counter = 0
Position = 0261, Accumulator = 0.000000e+00, Counter = 0
Position = 0262, Accumulator = 0.000000e+00, Counter = 0
Position = 0263, Accumulator = 0.000000e+00, Counter = 0
Position = 0264, Accumulator = 0.000000e+00, Counter = 2
Position = 0265, Accumulator = 0.000000e+00, Counter = 0
Position = 0266, Accumulator = 0.000000e+00, Counter = 2
Position = 0267, Accumulator = 0.000000e+00, Counter = 2
Position = 0268, Accumulator = 0.000000e+00, Counter = 0
Position = 0269, Accumulator = 0.000000e+00, Counter = 1
Position = 0270, Accumulator = 0.000000e+00, Counter = 0
Position = 0271, Accumulator = 0.000000e+00, Counter = 0
Position = 0272, Accumulator = 0.000000e+00, Counter = 0
Position = 0273, Accumulator = 0.000000e+00, Counter = 0
Position = 0274, Accumulator = 0.000000e+00, Counter = 0
Position = 0275, Accumulator = 0.000000e+00, Counter = 0
Position = 0276, Accumulator = 0.000000e+00, Counter = 0
Position = 0277, Accumulator = 0.000000e+00, Counter = 0
Position = 0278, Accumulator = 0.000000e+00, Counter = 0
Position = 0279, Accumulator = 0.000000e+00, Counter = 0
Position = 0280, Accumulator = 0.000000e+00, Counter = 0
Position = 0281, Accumulator = 0.000000e+00, Counter = 0
Position = 0282, Accumulator = 0.000000e+00, Counter = 0
Position = 0283, Accumulator = 0.000000e+00, Counter = 0
Position = 0284, Accumulator = 0.000000e+00, Counter = 0
Position = 0285, Accumulator = 0.000000e+00, Counter = 0
Position = 0286, Accumulator = 0.000000e+00, Counter = 2
Position = 0287, Accumulator = 0.000000e+00, Counter = 0
Position = 0288, Accumulator = 0.000000e+00, Counter = 1
Position = 0289, Accumulator = 0.000000e+00, Counter = 0
Position = 0290, Accumulator = 0.000000e+00, Counter = 0
Position = 0291, Accumulator = 0.000000e+00, Counter = 2
Position = 0292, Accumulator = 0.000000e+00, Counter = 1
Position = 0293, Accumulator = 0.000000e+00, Counter = 0
Position = 0294, Accumulator = 0.000000e+00, Counter = 0
Position = 0295, Accumulator = 0.000000e+00, Counter = 2
Position = 0296, Accumulator = 0.000000e+00, Counter = 1
Position = 0297, Accumulator = 0.000000e+00, Counter = 0
Position = 0298, Accumulator = 0.000000e+00, Counter = 0
Position = 0299, Accumulator = 0.000000e+00, Counter = 0
Position = 0300, Accumulator = 0.000000e+00, Counter = 2
Position = 0301, Accumulator = 0.000000e+00, Counter = 0
Position = 0302, Accumulator = 0.000000e+00, Counter = 0
Position = 0303, Accumulator = 0.000000e+00, Counter = 0
Position = 0304, Accumulator = 0.000000e+00, Counter = 1
Position = 0305, Accumulator = 0.000000e+00, Counter = 0
